,pre,stop,vowel,pre_path,stop_path,vowel_path,pre_startTime,pre_endTime,stop_startTime,stop_endTime,vowel_startTime,vowel_endTime,speaker,wuid,phi_type,first_sep_frame,second_sep_frame
277,,T,UW,,909/131045/0010/909-131045-0010-0046.flac,909/131045/0010/909-131045-0010-0047.flac,3.935575466484073,,3.99,4.06,4.06,4.16,909,909-131045-0010-0012,T,3,7
278,,T,AH,,909/131044/0009/909-131044-0009-0003.flac,909/131044/0009/909-131044-0009-0004.flac,0.29423022299721446,,0.33,0.38,0.38,0.48,909,909-131044-0009-0001,T,2,5
279,,T,AY,,4297/13009/0011/4297-13009-0011-0042.flac,4297/13009/0011/4297-13009-0011-0043.flac,3.0967298296175607,,3.16,3.32,3.32,3.44,4297,4297-13009-0011-0015,T,3,13
280,,K,UH,,4297/13009/0039/4297-13009-0039-0052.flac,4297/13009/0039/4297-13009-0039-0053.flac,4.565045697419253,,4.66,4.76,4.76,4.8,4297,4297-13009-0039-0015,T,5,12
281,,T,ER,,8630/305213/0013/8630-305213-0013-0033.flac,8630/305213/0013/8630-305213-0013-0034.flac,3.3441362938438197,,3.41,3.56,3.56,3.7,8630,8630-305213-0013-0009,T,4,13
282,,K,AA,,8630/305213/0035/8630-305213-0035-0144.flac,8630/305213/0035/8630-305213-0035-0145.flac,14.525316498877384,,14.66,14.75,14.75,14.85,8630,8630-305213-0035-0038,T,8,14
283,,P,AH,,909/131041/0007/909-131041-0007-0120.flac,909/131041/0007/909-131041-0007-0121.flac,9.474630578229254,,9.6,9.71,9.71,9.79,909,909-131041-0007-0030,T,7,14
284,,T,IH,,8630/305212/0009/8630-305212-0009-0024.flac,8630/305212/0009/8630-305212-0009-0025.flac,2.184091290043894,,2.32,2.4,2.4,2.44,8630,8630-305212-0009-0007,T,8,13
285,,T,AH,,8630/305212/0041/8630-305212-0041-0001.flac,8630/305212/0041/8630-305212-0041-0002.flac,0.07434082723650788,,0.19,0.25,0.25,0.31,8630,8630-305212-0041-0000,T,7,10
286,,P,AA,,4297/13009/0001/4297-13009-0001-0059.flac,4297/13009/0001/4297-13009-0001-0060.flac,4.2101326266764465,,4.31,4.38,4.38,4.43,4297,4297-13009-0001-0016,T,6,10
287,,T,AH,,8630/305213/0018/8630-305213-0018-0094.flac,8630/305213/0018/8630-305213-0018-0095.flac,12.15511662980593,,12.28,12.34,12.34,12.39,8630,8630-305213-0018-0032,T,7,11
288,,T,AH,,8630/305212/0019/8630-305212-0019-0089.flac,8630/305212/0019/8630-305212-0019-0090.flac,7.411519198706735,,7.48,7.53,7.53,7.58,8630,8630-305212-0019-0027,T,4,7
289,,P,ER,,103/1240/0046/103-1240-0046-0138.flac,103/1240/0046/103-1240-0046-0139.flac,10.45220374504446,,10.59,10.7,10.7,10.79,103,103-1240-0046-0049,T,8,15
290,,K,UW,,8630/305213/0040/8630-305213-0040-0045.flac,8630/305213/0040/8630-305213-0040-0046.flac,6.430845546659909,,6.54,6.66,6.66,6.78,8630,8630-305213-0040-0015,T,6,14
291,,T,UW,,8630/305212/0019/8630-305212-0019-0073.flac,8630/305212/0019/8630-305212-0019-0074.flac,6.135605023854624,,6.24,6.27,6.27,6.34,8630,8630-305212-0019-0021,T,6,8
292,,T,IH,,103/1241/0042/103-1241-0042-0034.flac,103/1241/0042/103-1241-0042-0035.flac,2.608230993389464,,2.68,2.79,2.79,2.84,103,103-1241-0042-0010,T,4,11
293,,T,AH,,8630/305213/0053/8630-305213-0053-0148.flac,8630/305213/0053/8630-305213-0053-0149.flac,15.40912233148521,,15.52,15.57,15.57,15.65,8630,8630-305213-0053-0034,T,6,10
294,,K,UH,,4297/13006/0018/4297-13006-0018-0040.flac,4297/13006/0018/4297-13006-0018-0041.flac,3.3128536765311485,,3.41,3.51,3.51,3.57,4297,4297-13006-0018-0011,T,6,12
295,,T,UW,,103/1240/0046/103-1240-0046-0165.flac,103/1240/0046/103-1240-0046-0166.flac,12.394036576466501,,12.5,12.57,12.57,12.65,103,103-1240-0046-0055,T,6,10
296,,T,AH,,909/131041/0013/909-131041-0013-0159.flac,909/131041/0013/909-131041-0013-0160.flac,13.700569061946133,,13.91,13.98,13.98,14.03,909,909-131041-0013-0039,T,13,17
297,,T,AH,,8630/305212/0010/8630-305212-0010-0131.flac,8630/305212/0010/8630-305212-0010-0132.flac,14.979216867763302,,15.11,15.19,15.19,15.26,8630,8630-305212-0010-0035,T,8,13
298,,T,UW,,4297/13009/0009/4297-13009-0009-0136.flac,4297/13009/0009/4297-13009-0009-0137.flac,10.644501669771767,,10.71,10.77,10.77,10.84,4297,4297-13009-0009-0040,T,4,7
299,,P,AE,,4481/17498/0042/4481-17498-0042-0080.flac,4481/17498/0042/4481-17498-0042-0081.flac,6.123625202036498,,6.19,6.3,6.3,6.4,4481,4481-17498-0042-0023,T,4,11
300,,K,UH,,909/131041/0011/909-131041-0011-0003.flac,909/131041/0011/909-131041-0011-0004.flac,0.47642175100964845,,0.53,0.6,0.6,0.66,909,909-131041-0011-0001,T,3,7
301,,P,Y,,8630/305213/0048/8630-305213-0048-0053.flac,8630/305213/0048/8630-305213-0048-0054.flac,5.684205897689169,,5.83,5.98,5.98,6.05,8630,8630-305213-0048-0016,T,9,18
302,,T,UW,,909/131041/0016/909-131041-0016-0104.flac,909/131041/0016/909-131041-0016-0105.flac,9.15435258002784,,9.36,9.44,9.44,9.54,909,909-131041-0016-0028,T,12,17
303,,K,AH,,103/1241/0000/103-1241-0000-0059.flac,103/1241/0000/103-1241-0000-0060.flac,6.578487302474268,,6.69,6.8,6.8,6.84,103,103-1241-0000-0013,T,6,13
304,,T,AH,,8630/305212/0007/8630-305212-0007-0076.flac,8630/305212/0007/8630-305212-0007-0077.flac,8.017633644429864,,8.12,8.19,8.19,8.24,8630,8630-305212-0007-0016,T,6,10
305,,T,IH,,909/131045/0016/909-131045-0016-0087.flac,909/131045/0016/909-131045-0016-0088.flac,8.840928940786025,,8.92,8.99,8.99,9.07,909,909-131045-0016-0021,T,4,9
306,,T,AY,,4481/17499/0000/4481-17499-0000-0035.flac,4481/17499/0000/4481-17499-0000-0036.flac,4.101544890439545,,4.2,4.36,4.36,4.5,4481,4481-17499-0000-0011,T,6,16
307,,P,ER,,909/131041/0013/909-131041-0013-0045.flac,909/131041/0013/909-131041-0013-0046.flac,3.6763517116587634,,3.74,3.85,3.85,3.94,909,909-131041-0013-0013,T,3,10
308,,P,ER,,8630/305213/0009/8630-305213-0009-0082.flac,8630/305213/0009/8630-305213-0009-0083.flac,9.91190122409716,,9.99,10.08,10.08,10.13,8630,8630-305213-0009-0023,T,4,10
309,,P,IY,,909/131044/0012/909-131044-0012-0124.flac,909/131044/0012/909-131044-0012-0125.flac,11.41326053632915,,11.59,11.71,11.71,11.8,909,909-131044-0012-0033,T,11,18
310,,K,AE,,909/131041/0022/909-131041-0022-0070.flac,909/131041/0022/909-131041-0022-0071.flac,5.541314947988935,,5.62,5.72,5.72,5.81,909,909-131041-0022-0017,T,4,11
311,,T,AH,,909/131041/0003/909-131041-0003-0159.flac,909/131041/0003/909-131041-0003-0160.flac,14.886914727580324,,15.06,15.11,15.11,15.17,909,909-131041-0003-0036,T,10,13
312,,T,IH,,103/1240/0013/103-1240-0013-0028.flac,103/1240/0013/103-1240-0013-0029.flac,2.0314921730417,,2.07,2.11,2.11,2.15,103,103-1240-0013-0008,T,2,4
313,,K,AO,,909/131045/0027/909-131045-0027-0027.flac,909/131045/0027/909-131045-0027-0028.flac,3.4201448437253124,,3.53,3.66,3.66,3.74,909,909-131045-0027-0011,T,6,14
314,,T,AH,,4297/13009/0055/4297-13009-0055-0034.flac,4297/13009/0055/4297-13009-0055-0035.flac,2.403754023036549,,2.49,2.55,2.55,2.59,4297,4297-13009-0055-0008,T,5,9
315,,K,AO,,103/1240/0010/103-1240-0010-0016.flac,103/1240/0010/103-1240-0010-0017.flac,1.0925922327051207,,1.21,1.29,1.29,1.35,103,103-1240-0010-0005,T,7,12
316,,T,UW,,4481/17498/0013/4481-17498-0013-0022.flac,4481/17498/0013/4481-17498-0013-0023.flac,1.6804336774535793,,1.75,1.81,1.81,1.99,4481,4481-17498-0013-0006,T,4,8
317,,T,AH,,909/131045/0010/909-131045-0010-0147.flac,909/131045/0010/909-131045-0010-0148.flac,12.934521350491439,,13.04,13.12,13.12,13.16,909,909-131045-0010-0037,T,6,11
318,,T,UW,,4297/13009/0050/4297-13009-0050-0025.flac,4297/13009/0050/4297-13009-0050-0026.flac,2.3127641152275453,,2.44,2.49,2.49,2.56,4297,4297-13009-0050-0008,T,7,11
319,,T,UW,,909/131045/0038/909-131045-0038-0045.flac,909/131045/0038/909-131045-0038-0046.flac,4.066137582590344,,4.14,4.21,4.21,4.28,909,909-131045-0038-0010,T,4,8
320,,T,AY,,4481/17499/0045/4481-17499-0045-0036.flac,4481/17499/0045/4481-17499-0045-0037.flac,2.3887556886997077,,2.44,2.55,2.55,2.76,4481,4481-17499-0045-0012,T,3,10
321,,K,EH,,8630/305213/0041/8630-305213-0041-0050.flac,8630/305213/0041/8630-305213-0041-0051.flac,5.200077526339178,,5.26,5.36,5.36,5.46,8630,8630-305213-0041-0015,T,3,9
322,,T,IH,,103/1240/0015/103-1240-0015-0047.flac,103/1240/0015/103-1240-0015-0048.flac,2.827516346770864,,2.91,2.95,2.95,3.0,103,103-1240-0015-0015,T,5,7
323,,K,AH,,4297/13009/0047/4297-13009-0047-0020.flac,4297/13009/0047/4297-13009-0047-0021.flac,1.1592852986042346,,1.23,1.35,1.35,1.4,4297,4297-13009-0047-0006,T,4,11
324,,T,AH,,8630/305213/0020/8630-305213-0020-0081.flac,8630/305213/0020/8630-305213-0020-0082.flac,8.371172730244515,,8.47,8.57,8.57,8.63,8630,8630-305213-0020-0019,T,6,12
325,,P,AH,,909/131045/0023/909-131045-0023-0041.flac,909/131045/0023/909-131045-0023-0042.flac,3.4755846532934807,,3.56,3.63,3.63,3.69,909,909-131045-0023-0012,T,5,9
326,,P,AA,,909/131045/0035/909-131045-0035-0064.flac,909/131045/0035/909-131045-0035-0065.flac,4.540625066365296,,4.6,4.74,4.74,4.82,909,909-131045-0035-0012,T,3,12
327,,T,UW,,4297/13006/0008/4297-13006-0008-0116.flac,4297/13006/0008/4297-13006-0008-0117.flac,11.381920152154903,,11.45,11.52,11.52,11.64,4297,4297-13006-0008-0032,T,4,8
328,,K,AO,,4297/13009/0006/4297-13009-0006-0162.flac,4297/13009/0006/4297-13009-0006-0163.flac,12.894431383064406,,12.95,13.08,13.08,13.13,4297,4297-13009-0006-0041,T,3,11
329,,K,AH,,909/131041/0027/909-131041-0027-0005.flac,909/131041/0027/909-131041-0027-0006.flac,0.7538658422773029,,0.85,0.96,0.96,1.02,909,909-131041-0027-0002,T,6,12
330,,P,AE,,4481/17498/0039/4481-17498-0039-0026.flac,4481/17498/0039/4481-17498-0039-0027.flac,2.8358726430090346,,2.89,2.99,2.99,3.1,4481,4481-17498-0039-0006,T,3,9
331,,K,AH,,909/131045/0022/909-131045-0022-0036.flac,909/131045/0022/909-131045-0022-0037.flac,2.3734660283656464,,2.48,2.57,2.57,2.64,909,909-131045-0022-0010,T,6,12
332,,K,AH,,103/1240/0010/103-1240-0010-0107.flac,103/1240/0010/103-1240-0010-0108.flac,8.377399738221934,,8.49,8.6,8.6,8.69,103,103-1240-0010-0027,T,7,13
333,,P,AA,,4481/17498/0036/4481-17498-0036-0098.flac,4481/17498/0036/4481-17498-0036-0099.flac,9.405180063163122,,9.48,9.63,9.63,9.79,4481,4481-17498-0036-0029,T,4,14
334,,T,AH,,909/131045/0010/909-131045-0010-0096.flac,909/131045/0010/909-131045-0010-0097.flac,8.278868805659286,,8.42,8.49,8.49,8.54,909,909-131045-0010-0025,T,8,13
335,,T,IH,,8630/305212/0043/8630-305212-0043-0071.flac,8630/305212/0043/8630-305212-0043-0072.flac,8.683890449657973,,8.75,8.87,8.87,9.02,8630,8630-305212-0043-0025,T,4,11
336,,K,AH,,4297/13009/0020/4297-13009-0020-0040.flac,4297/13009/0020/4297-13009-0020-0041.flac,4.0709546050433705,,4.17,4.25,4.25,4.29,4297,4297-13009-0020-0009,T,6,11
337,,P,IY,,4481/17498/0009/4481-17498-0009-0013.flac,4481/17498/0009/4481-17498-0009-0014.flac,0.8469097533852654,,0.96,1.11,1.11,1.15,4481,4481-17498-0009-0004,T,7,16
338,,K,EY,,8630/305212/0020/8630-305212-0020-0024.flac,8630/305212/0020/8630-305212-0020-0025.flac,2.27558185534208,,2.4,2.5,2.5,2.61,8630,8630-305212-0020-0007,T,7,14
339,,K,AH,,4481/17499/0026/4481-17499-0026-0144.flac,4481/17499/0026/4481-17499-0026-0145.flac,14.377165916548503,,14.46,14.56,14.56,14.62,4481,4481-17499-0026-0041,T,5,11
340,,K,AH,,4297/13006/0006/4297-13006-0006-0062.flac,4297/13006/0006/4297-13006-0006-0063.flac,4.992964078163562,,5.11,5.21,5.21,5.24,4297,4297-13006-0006-0018,T,7,13
341,,T,AH,,909/131041/0012/909-131041-0012-0036.flac,909/131041/0012/909-131041-0012-0037.flac,2.1726894898668565,,2.3,2.35,2.35,2.41,909,909-131041-0012-0009,T,7,11
342,,P,IY,,103/1241/0026/103-1241-0026-0022.flac,103/1241/0026/103-1241-0026-0023.flac,2.034562834370418,,2.09,2.14,2.14,2.25,103,103-1241-0026-0007,T,3,6
343,,K,AA,,103/1240/0005/103-1240-0005-0149.flac,103/1240/0005/103-1240-0005-0150.flac,12.02435477185545,,12.09,12.27,12.27,12.34,103,103-1240-0005-0037,T,4,15
344,,P,ER,,103/1241/0001/103-1241-0001-0120.flac,103/1241/0001/103-1241-0001-0121.flac,10.039578764721591,,10.12,10.3,10.3,10.44,103,103-1241-0001-0034,T,5,16
345,,T,IH,,4297/13009/0030/4297-13009-0030-0159.flac,4297/13009/0030/4297-13009-0030-0160.flac,13.204653281707266,,13.25,13.31,13.31,13.35,4297,4297-13009-0030-0044,T,2,6
346,,P,UW,,8630/305212/0004/8630-305212-0004-0103.flac,8630/305212/0004/8630-305212-0004-0104.flac,11.934258792392338,,12.0,12.08,12.08,12.2,8630,8630-305212-0004-0033,T,4,9
347,,T,AH,,103/1240/0033/103-1240-0033-0119.flac,103/1240/0033/103-1240-0033-0120.flac,9.106348606615157,,9.18,9.23,9.23,9.29,103,103-1240-0033-0032,T,4,7
348,,K,IY,,4297/13006/0003/4297-13006-0003-0039.flac,4297/13006/0003/4297-13006-0003-0040.flac,2.564058551683289,,2.69,2.78,2.78,2.84,4297,4297-13006-0003-0013,T,7,13
349,,K,AH,,909/131045/0004/909-131045-0004-0007.flac,909/131045/0004/909-131045-0004-0008.flac,0.6998607975725105,,0.76,0.83,0.83,0.89,909,909-131045-0004-0003,T,3,8
350,,K,AH,,4297/13006/0043/4297-13006-0043-0041.flac,4297/13006/0043/4297-13006-0043-0042.flac,3.427308678949486,,3.49,3.54,3.54,3.6,4297,4297-13006-0043-0012,T,3,7
351,,T,AH,,8630/305213/0009/8630-305213-0009-0066.flac,8630/305213/0009/8630-305213-0009-0067.flac,8.761352653272526,,8.83,8.9,8.9,8.96,8630,8630-305213-0009-0019,T,4,8
352,,T,IH,,4297/13006/0004/4297-13006-0004-0068.flac,4297/13006/0004/4297-13006-0004-0069.flac,4.956857296495206,,5.06,5.11,5.11,5.15,4297,4297-13006-0004-0024,T,6,9
353,,P,AE,,4481/17498/0013/4481-17498-0013-0140.flac,4481/17498/0013/4481-17498-0013-0141.flac,12.534118501165317,,12.6,12.72,12.72,12.83,4481,4481-17498-0013-0042,T,4,11
354,,T,IH,,4481/17498/0004/4481-17498-0004-0047.flac,4481/17498/0004/4481-17498-0004-0048.flac,4.462404790709215,,4.52,4.61,4.61,4.66,4481,4481-17498-0004-0014,T,3,9
355,,T,UW,,909/131045/0029/909-131045-0029-0045.flac,909/131045/0029/909-131045-0029-0046.flac,3.7175397800945404,,3.79,3.83,3.83,3.89,909,909-131045-0029-0010,T,4,7
356,,T,UW,,4481/17498/0021/4481-17498-0021-0007.flac,4481/17498/0021/4481-17498-0021-0008.flac,0.8987875851969783,,0.99,1.08,1.08,1.16,4481,4481-17498-0021-0002,T,5,11
357,,T,IH,,4481/17498/0007/4481-17498-0007-0046.flac,4481/17498/0007/4481-17498-0007-0047.flac,4.709276321504286,,4.83,4.89,4.89,4.94,4481,4481-17498-0007-0016,T,7,11
358,,T,AH,,103/1240/0021/103-1240-0021-0071.flac,103/1240/0021/103-1240-0021-0072.flac,4.840743919765006,,4.94,4.98,4.98,5.01,103,103-1240-0021-0020,T,6,8
359,,T,IH,,4297/13009/0031/4297-13009-0031-0110.flac,4297/13009/0031/4297-13009-0031-0111.flac,9.02803256491733,,9.1,9.14,9.14,9.2,4297,4297-13009-0031-0034,T,4,6
360,,T,IH,,4481/17499/0025/4481-17499-0025-0064.flac,4481/17499/0025/4481-17499-0025-0065.flac,5.556294128009744,,5.64,5.68,5.68,5.73,4481,4481-17499-0025-0016,T,5,7
361,,P,IY,,8630/305212/0017/8630-305212-0017-0060.flac,8630/305212/0017/8630-305212-0017-0061.flac,6.151601377887383,,6.28,6.34,6.34,6.45,8630,8630-305212-0017-0015,T,8,11
362,,T,IH,,4297/13006/0015/4297-13006-0015-0050.flac,4297/13006/0015/4297-13006-0015-0051.flac,3.5806993885002902,,3.63,3.69,3.69,3.75,4297,4297-13006-0015-0011,T,3,6
363,,T,IH,,4297/13009/0021/4297-13009-0021-0112.flac,4297/13009/0021/4297-13009-0021-0113.flac,10.220215410266844,,10.28,10.35,10.35,10.41,4297,4297-13009-0021-0034,T,3,8
364,,T,UW,,8630/305212/0002/8630-305212-0002-0053.flac,8630/305212/0002/8630-305212-0002-0054.flac,5.336833874885468,,5.39,5.46,5.46,5.54,8630,8630-305212-0002-0010,T,3,7
365,,T,UW,,4297/13009/0036/4297-13009-0036-0141.flac,4297/13009/0036/4297-13009-0036-0142.flac,13.235045880038994,,13.38,13.49,13.49,13.52,4297,4297-13009-0036-0039,T,9,15
366,,K,AH,,4481/17498/0002/4481-17498-0002-0042.flac,4481/17498/0002/4481-17498-0002-0043.flac,3.1636747023101144,,3.24,3.31,3.31,3.36,4481,4481-17498-0002-0012,T,4,9
367,,P,ER,,909/131045/0030/909-131045-0030-0064.flac,909/131045/0030/909-131045-0030-0065.flac,5.558817927887852,,5.62,5.76,5.76,5.86,909,909-131045-0030-0013,T,3,12
368,,T,IH,,4297/13006/0038/4297-13006-0038-0013.flac,4297/13006/0038/4297-13006-0038-0014.flac,0.9963222227844252,,1.06,1.1,1.1,1.17,4297,4297-13006-0038-0004,T,3,6
369,,P,AA,,4297/13009/0029/4297-13009-0029-0135.flac,4297/13009/0029/4297-13009-0029-0136.flac,12.103048030232697,,12.19,12.31,12.31,12.35,4297,4297-13009-0029-0040,T,5,12
370,,T,IH,,4297/13009/0012/4297-13009-0012-0060.flac,4297/13009/0012/4297-13009-0012-0061.flac,5.550023504178775,,5.61,5.65,5.65,5.71,4297,4297-13009-0012-0019,T,3,6
371,,T,AY,,4481/17498/0041/4481-17498-0041-0106.flac,4481/17498/0041/4481-17498-0041-0107.flac,10.646125550133412,,10.72,10.86,10.86,11.02,4481,4481-17498-0041-0028,T,4,13
372,,T,AH,,909/131045/0006/909-131045-0006-0148.flac,909/131045/0006/909-131045-0006-0149.flac,11.003824335171513,,11.17,11.23,11.23,11.27,909,909-131045-0006-0034,T,10,14
373,,T,AA,,103/1240/0008/103-1240-0008-0078.flac,103/1240/0008/103-1240-0008-0079.flac,7.077238820379508,,7.17,7.29,7.29,7.36,103,103-1240-0008-0024,T,5,13
374,,T,UW,,8630/305213/0017/8630-305213-0017-0074.flac,8630/305213/0017/8630-305213-0017-0075.flac,9.435810664378884,,9.49,9.58,9.58,9.63,8630,8630-305213-0017-0026,T,3,9
375,,T,IH,,4297/13006/0014/4297-13006-0014-0048.flac,4297/13006/0014/4297-13006-0014-0049.flac,3.53696237372292,,3.63,3.68,3.68,3.72,4297,4297-13006-0014-0012,T,5,8
376,,K,UH,,8630/305213/0042/8630-305213-0042-0001.flac,8630/305213/0042/8630-305213-0042-0002.flac,0.0376532620602532,,0.12,0.19,0.19,0.26,8630,8630-305213-0042-0000,T,5,9
377,,T,AH,,4481/17498/0000/4481-17498-0000-0021.flac,4481/17498/0000/4481-17498-0000-0022.flac,1.531245504375048,,1.65,1.69,1.69,1.74,4481,4481-17498-0000-0007,T,7,9
378,,T,UW,,103/1241/0024/103-1241-0024-0121.flac,103/1241/0024/103-1241-0024-0122.flac,8.489160602503667,,8.57,8.65,8.65,8.71,103,103-1241-0024-0036,T,5,10
379,,T,UW,,909/131045/0038/909-131045-0038-0117.flac,909/131045/0038/909-131045-0038-0118.flac,10.076123855987014,,10.19,10.28,10.28,10.34,909,909-131045-0038-0029,T,7,12
380,,T,IH,,909/131045/0040/909-131045-0040-0047.flac,909/131045/0040/909-131045-0040-0048.flac,4.164771899673624,,4.28,4.34,4.34,4.41,909,909-131045-0040-0011,T,7,10
381,,K,AH,,909/131041/0006/909-131041-0006-0033.flac,909/131041/0006/909-131041-0006-0034.flac,2.656529445039606,,2.73,2.82,2.82,2.86,909,909-131041-0006-0008,T,4,10
382,,P,ER,,8630/305212/0022/8630-305212-0022-0090.flac,8630/305212/0022/8630-305212-0022-0091.flac,9.949350261093945,,10.06,10.15,10.15,10.23,8630,8630-305212-0022-0026,T,6,12
383,,T,AH,,909/131045/0021/909-131045-0021-0074.flac,909/131045/0021/909-131045-0021-0075.flac,6.225470150788623,,6.29,6.32,6.32,6.37,909,909-131045-0021-0016,T,4,5
384,,T,AH,,4481/17499/0033/4481-17499-0033-0058.flac,4481/17499/0033/4481-17499-0033-0059.flac,6.461961598769189,,6.55,6.59,6.59,6.62,4481,4481-17499-0033-0018,T,5,8
385,,T,AY,,909/131044/0015/909-131044-0015-0049.flac,909/131044/0015/909-131044-0015-0050.flac,4.1580412597248735,,4.26,4.38,4.38,4.52,909,909-131044-0015-0013,T,6,13
386,,P,AH,,103/1240/0016/103-1240-0016-0053.flac,103/1240/0016/103-1240-0016-0054.flac,3.805975239450581,,3.9,3.97,3.97,4.04,103,103-1240-0016-0014,T,5,10
387,,T,OW,,4297/13009/0005/4297-13009-0005-0173.flac,4297/13009/0005/4297-13009-0005-0174.flac,13.545198020239866,,13.66,13.77,13.77,13.82,4297,4297-13009-0005-0042,T,7,14
388,,P,AH,,4481/17498/0008/4481-17498-0008-0040.flac,4481/17498/0008/4481-17498-0008-0041.flac,4.6731324754716725,,4.77,4.85,4.85,4.89,4481,4481-17498-0008-0010,T,6,11
389,,K,UH,,4297/13006/0015/4297-13006-0015-0081.flac,4297/13006/0015/4297-13006-0015-0082.flac,5.797871898492644,,5.89,5.97,5.97,6.03,4297,4297-13006-0015-0020,T,5,10
390,,K,AH,,4297/13009/0026/4297-13009-0026-0108.flac,4297/13009/0026/4297-13009-0026-0109.flac,9.715515480610296,,9.77,9.83,9.83,9.86,4297,4297-13009-0026-0030,T,3,7
391,,T,IH,,4481/17498/0005/4481-17498-0005-0094.flac,4481/17498/0005/4481-17498-0005-0095.flac,7.169629701451912,,7.23,7.27,7.27,7.34,4481,4481-17498-0005-0022,T,3,6
392,,T,UW,,103/1240/0021/103-1240-0021-0038.flac,103/1240/0021/103-1240-0021-0039.flac,2.3916376588587536,,2.43,2.47,2.47,2.54,103,103-1240-0021-0010,T,2,4
393,,K,AH,,909/131041/0030/909-131041-0030-0006.flac,909/131041/0030/909-131041-0030-0007.flac,0.6153674534001379,,0.69,0.75,0.75,0.81,909,909-131041-0030-0002,T,4,8
394,,T,UW,,4297/13009/0047/4297-13009-0047-0117.flac,4297/13009/0047/4297-13009-0047-0118.flac,9.17283996361542,,9.29,9.34,9.34,9.39,4297,4297-13009-0047-0033,T,7,10
395,,K,AH,,103/1241/0019/103-1241-0019-0029.flac,103/1241/0019/103-1241-0019-0030.flac,1.9560117825243541,,2.07,2.16,2.16,2.2,103,103-1241-0019-0010,T,7,12
396,,K,AH,,8630/305213/0020/8630-305213-0020-0003.flac,8630/305213/0020/8630-305213-0020-0004.flac,0.6260428357809524,,0.73,0.79,0.79,0.88,8630,8630-305213-0020-0001,T,6,10
397,,T,UW,,8630/305212/0039/8630-305212-0039-0098.flac,8630/305212/0039/8630-305212-0039-0099.flac,11.236693735733255,,11.3,11.43,11.43,11.49,8630,8630-305212-0039-0025,T,3,12
398,,T,UW,,103/1240/0048/103-1240-0048-0024.flac,103/1240/0048/103-1240-0048-0025.flac,2.3350407035692347,,2.4,2.48,2.48,2.56,103,103-1240-0048-0005,T,4,9
399,,P,AO,,4297/13006/0000/4297-13006-0000-0148.flac,4297/13006/0000/4297-13006-0000-0149.flac,12.57769502866351,,12.63,12.76,12.76,12.81,4297,4297-13006-0000-0039,T,3,11
400,,T,IH,,103/1241/0000/103-1241-0000-0160.flac,103/1241/0000/103-1241-0000-0161.flac,15.045391924825394,,15.12,15.16,15.16,15.22,103,103-1241-0000-0041,T,4,7
401,,T,IY,,4481/17498/0024/4481-17498-0024-0076.flac,4481/17498/0024/4481-17498-0024-0077.flac,6.514392199251594,,6.64,6.78,6.78,6.98,4481,4481-17498-0024-0023,T,7,16
402,,T,AH,,909/131044/0002/909-131044-0002-0083.flac,909/131044/0002/909-131044-0002-0084.flac,6.304289433835669,,6.35,6.41,6.41,6.46,909,909-131044-0002-0020,T,2,6
403,,K,UH,,103/1240/0002/103-1240-0002-0017.flac,103/1240/0002/103-1240-0002-0018.flac,1.3326695266370077,,1.43,1.52,1.52,1.56,103,103-1240-0002-0005,T,6,11
404,,K,UH,,103/1241/0020/103-1241-0020-0121.flac,103/1241/0020/103-1241-0020-0122.flac,8.926146739175946,,9.01,9.08,9.08,9.14,103,103-1241-0020-0037,T,5,9
405,,K,UH,,4481/17499/0029/4481-17499-0029-0028.flac,4481/17499/0029/4481-17499-0029-0029.flac,2.935902754166494,,3.06,3.13,3.13,3.19,4481,4481-17499-0029-0009,T,7,12
406,,P,ER,,8630/305212/0029/8630-305212-0029-0061.flac,8630/305212/0029/8630-305212-0029-0062.flac,6.126470842487985,,6.22,6.28,6.28,6.35,8630,8630-305212-0029-0015,T,5,9
407,,K,AH,,4297/13009/0017/4297-13009-0017-0116.flac,4297/13009/0017/4297-13009-0017-0117.flac,10.839228076019404,,10.95,11.05,11.05,11.09,4297,4297-13009-0017-0026,T,6,13
408,,T,AH,,909/131044/0013/909-131044-0013-0120.flac,909/131044/0013/909-131044-0013-0121.flac,9.304148211910363,,9.4,9.45,9.45,9.5,909,909-131044-0013-0027,T,5,9
409,,K,AH,,4297/13009/0003/4297-13009-0003-0120.flac,4297/13009/0003/4297-13009-0003-0121.flac,10.646882192175589,,10.71,10.8,10.8,10.84,4297,4297-13009-0003-0036,T,3,9
410,,T,IH,,4481/17498/0011/4481-17498-0011-0039.flac,4481/17498/0011/4481-17498-0011-0040.flac,3.308474283504076,,3.44,3.53,3.53,3.57,4481,4481-17498-0011-0009,T,8,13
411,,T,AH,,909/131041/0024/909-131041-0024-0040.flac,909/131041/0024/909-131041-0024-0041.flac,3.356578175651739,,3.47,3.54,3.54,3.61,909,909-131041-0024-0009,T,7,11
412,,T,AH,,8630/305213/0014/8630-305213-0014-0055.flac,8630/305213/0014/8630-305213-0014-0056.flac,6.5495860370033006,,6.63,6.7,6.7,6.77,8630,8630-305213-0014-0018,T,5,9
413,,K,AE,,4481/17498/0037/4481-17498-0037-0116.flac,4481/17498/0037/4481-17498-0037-0117.flac,11.153998256597474,,11.25,11.4,11.4,11.51,4481,4481-17498-0037-0029,T,6,15
